"id","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","y","Land","log_y","log_x1","log_x2","log_x5","log_x11","log_x17","log_x18"
43,415825,49297,35.51,64.49,11.8549535,9631.25,167606.25,155831.25,0,781.25,75718.75,0,5012.5,0,1243.75,293.073247,44261,35538,79,"FINLAND",1018.8,"FINLAND",6.9263807431053,12.9380197776587,10.8056185062522,2.47274579711406,11.2347943036802,10.6978818001124,10.4783859640027
44,1767206.3,35185,68.52,31.48,1.99078105,52600,759787.5,337406.25,125031.25,357943.75,21906.25,62487.5,44687.5,3256.25,2100,592.286359,12848,10151,91.6000032,"SWEDEN",900.94,"SWEDEN",6.80343866271614,14.3849104960432,10.4683751344006,0.688527049170541,9.99457291124787,9.46102126628348,9.22542600939422
45,293231.3,24480,43.73,56.27,8.34870149,393.75,216200,49087.5,875,3318.75,14343.75,0,9012.5,0,0,208.257131,8370,6720,79,"FINLAND",348.8675,"FINLAND",5.85469219395432,12.5887169963665,10.1056117366263,2.12210601659016,9.57113930058845,9.03252863066006,8.81299223196997
46,294987.5,34672,27.15,72.85,11.7526185,12487.5,39268.75,75943.75,15856.25,1206.25,149925,0,300,0,0,276.341781,26018,25209,70.2,"ESTONIA",1341.165,"ESTONIA",7.20129391821816,12.5946882615428,10.4536877237761,2.46407606682639,11.9178971180161,10.1665823193526,10.134996020182
47,56506.3,16684,66.3,33.7,29.5454649,1212.5,3256.25,14387.5,5968.75,0,31081.25,0,150,0,450,366.174988,5394,5226,70.2,"ESTONIA",569.03,"ESTONIA",6.34393315681379,10.9421074153432,9.72220545531684,3.38593025999284,10.3443921956837,8.59322787769223,8.56159277871292
48,5091937.5,114318,96.51,3.49,2.24515007,136893.75,2108043.75,1856612.5,156706.25,467075,165993.75,1287.5,197106.25,0,2218.75,365.936208,93488,75313,76.8420435,"FINLAND",1336.5275,"FINLAND",7.19783011149898,15.4431689644286,11.6467393176991,0.808772365285269,12.0197114403325,11.445599061297,11.2294213194812
49,375612.5,13556,82.78,17.22,3.60984886,118.75,183106.25,172725,0,2881.25,5487.5,0,11293.75,0,0,356.830738,3208,2576,79,"FINLAND",140.2575,"FINLAND",4.94348001890885,12.8363133058477,9.51458453272694,1.28366590443233,8.61041027312737,8.07371464110986,7.85438121065236
50,110125,5226,33.6,66.4,4.74468432,100,59706.25,27831.25,0,287.5,18806.25,0,3393.75,0,0,304.464196,10957,8797,79,"FINLAND",236.87,"FINLAND",5.46751146743449,11.6093713632385,8.56140144608056,1.55702490087087,9.84199771277658,9.30182506209836,9.08227970190866
51,2666706.3,791190,66.77,33.23,29.6691536,2168.75,1481550,613943.75,81.25,7006.25,270662.5,0,272587.5,0,18706.25,285.43609,158183,127009,79,"FINLAND",6114.3625,"FINLAND",8.71839579084693,14.7963546733656,13.5812934201814,3.39010790676404,12.5086316308999,11.9715141914007,11.7520211024984
52,83012.5,3122,30.22,69.78,3.76111326,50,10131.25,43625,0,400,24650,0,4156.25,0,0,310.635187,14409,11569,79,"FINLAND",335.1775,"FINLAND",5.81466024224999,11.326746477849,8.04622910107538,1.32471499336607,10.1125727465993,9.57567768899357,9.35617082018772
53,131606.3,1561,100,0,1.18622019,87.5,85462.5,35981.25,0,2237.5,4881.25,0,2956.25,0,0,428.380509,2853,2291,79,"FINLAND",99.965,"FINLAND",4.6048201247238,11.7875701690679,7.35308192051543,0.170771941016131,8.49336145816289,7.95647679803678,7.73718007783463
54,3652306.3,539365,71.37,28.63,14.7681363,2662.5,1883025,956793.75,43.75,6837.5,96143.75,0,693325,0,13475,223.420889,56201,45125,79,"FINLAND",1910.2825,"FINLAND",7.55500641586286,15.110869389031,13.1981478006711,2.69247190713286,11.4736101473421,10.9367076224372,10.7172138560545
55,484393.8,118486,74.84,25.16,24.4616035,6406.25,215087.5,123200,768.75,4568.75,130475,0,3887.5,0,0,268.118465,76269,61238,79,"FINLAND",2012.675,"FINLAND",7.60721996203396,13.0906534912398,11.6825500891179,3.19710468412014,11.7789445807857,11.2420349551583,11.0225395204417
56,635312.5,118592,38.48,61.52,18.6663496,13043.75,388818.75,120062.5,1256.25,3643.75,52081.25,0,51318.75,0,5087.5,389.147239,30546,24135,91.6000032,"SWEDEN",990.050295,"SWEDEN",6.89775574486851,13.3618722828048,11.683444309645,2.9267224162085,10.8605794787142,10.3270217601052,10.0914597808389
57,47093.8,14770,96.58,3.42,31.3649899,968.75,22693.75,11093.75,0,0,12237.5,0,100,0,0,204.711241,7142,5735,79,"FINLAND",198.0375,"FINLAND",5.28845640670116,10.7598966365204,9.60035337552543,3.44569229953367,9.41234199953696,8.87388813515497,8.65451738227946
